,time,ema(4),high low span,high above ema,close above ema,close relative to high,volume change,volume relative to span,to buy,Prediction
4887,0.54,1.001084146,0.006772839,0.001296023,-0.001084146,0.002380169,0.004886149,1.386130164,0.001964123,0.0043821020257142854
4888,0.55,1.0009644770000001,0.004424008,0.0015234220000000002,-0.0009644769999999999,0.002487899,0.132776334,0.033319249,0.0038722170000000003,0.003084874976388889
4889,0.56,0.998262086,0.004821601,0.001737914,0.001737914,0.0,0.252246137,0.019114666000000002,0.00192864,0.003503697216666666
4890,0.57,0.9980921229999999,0.0028887820000000003,0.002389341,0.001907877,0.000481464,-1.5802478269999998,-0.001828056,0.000481464,0.0024236127
4891,0.58,1.001461511,0.00483559,0.0033740790000000003,-0.001461511,0.00483559,0.575420189,0.008403581,0.003868472,0.0028373311221428573
4892,0.59,1.000006491,0.004828585,0.002407802,-6.49e-06,0.002414293,-0.21439744800000002,-0.022521654,0.002414293,0.0030449942928571427
4893,0.6,1.000003894,0.004345727,0.002410398,-3.89e-06,0.002414293,-0.029627405,-0.146679289,0.001448576,0.0018982306967676762
4894,0.61,1.003206233,0.009708738,0.0035898840000000002,-0.0032062329999999997,0.006796117,-0.190373825,-0.050998281,0.003883495,0.0022305350100000005
4895,0.63,1.001339914,0.0058195930000000005,0.001569882,-0.001339914,0.0029097959999999997,-0.225648243,-0.025790551000000002,0.001939864,0.002474491682738095
4896,0.64,1.00051272,0.006786234,0.0009414730000000001,-0.00051272,0.001454193,0.146889616,0.046199545999999994,0.001454193,0.002004944001111111
4897,0.65,1.002937997,0.005842259,0.002904262,-0.002937997,0.005842259,0.276317933,0.02114325,0.000486855,0.0021753497333333333
4898,0.66,1.006743173,0.011290338,0.00202402,-0.006743173000000001,0.008767193000000001,0.32538243699999997,0.034698672,0.00042216,0.003089966668181818
4899,0.44,0.990116054,0.008704062,0.009883946,0.009883946,0.0,-1.040117621,-0.008368344,0.003384913,0.0021649151833333332
4900,0.45,0.99292278,0.006274131,0.008525096999999999,0.00707722,0.001447876,0.191517811,0.032760041000000004,0.0038610040000000003,0.001740619530952381
4901,0.46,0.998062791,0.00872093,0.009689147,0.0019372089999999998,0.007751938000000001,-0.306445476,-0.028458342,0.004844961,0.0024810078621428575
4902,0.47,0.999412692,0.006789459,0.006397145,0.000587308,0.005809836999999999,-0.038033528,-0.178512466,0.003869992,0.002590403566666667
4903,0.48,1.002282209,0.010716025,0.005998356,-0.002282209,0.008280565,0.222600987,0.048140062000000004,0.005358013000000001,0.002268888438888889
4904,0.49,1.003132011,0.008304836,0.005172826,-0.0031320109999999996,0.008304836,-0.92061881,-0.009020928000000001,0.001465559,0.002322706978253968
4905,0.5,1.0024678409999999,0.002933985,-2.2899999999999998e-05,-0.002467841,0.002444988,0.13170110599999998,0.022277606000000002,0.006356968,0.0019472937891666666
4906,0.51,0.99942887,0.006822612,0.003495107,0.00057113,0.002923977,-0.17095664,-0.039908436,0.002923977,0.0014466201614743589
4907,0.52,0.9993652340000001,0.0038967359999999996,0.003070227,0.0006347659999999999,0.00243546,-0.774462896,-0.005031534,0.001461276,0.0014830557704761905
4908,0.53,1.001083054,0.00390625,0.0028231959999999996,-0.001083054,0.00390625,-0.200918163,-0.019441995,0.00390625,0.0017585602405952381
4909,0.54,1.000063833,0.004390244000000001,0.002862997,-6.38e-05,0.002926829,0.133940125,0.03277766,0.00195122,0.0025848511833333333
4910,0.55,1.000624274,0.00390625,0.002305413,-0.000624274,0.0029296870000000003,-0.520357403,-0.00750686,0.0009765619999999999,0.002247116573214286
4911,0.56,0.999788833,0.00195122,0.000211167,0.000211167,0.0,-0.191749324,-0.010175887,0.000487805,0.0007908317936507937
4912,0.57,1.000166064,0.0034163009999999996,0.000810022,-0.000166064,0.000976086,0.687338185,0.004970334,0.000488043,0.0010555362624116162
4913,0.58,1.00097955,0.001955034,0.000975484,-0.00097955,0.001955034,-1.627279968,-0.001201412,0.002443793,0.0007062880861904762
4914,0.59,0.9997083920000001,0.004392387,0.001267694,0.000291608,0.000976086,0.7499651970000001,0.005856787,0.001464129,0.004490755511666667
4915,0.6,0.999825035,0.002928258,0.001639094,0.000174965,0.001464129,-2.030865289,-0.001441877,0.000488043,0.0015671308986950551
4916,0.61,1.000481142,0.001954079,0.000984417,-0.000481142,0.001465559,-1.159530008,-0.0016852339999999999,0.00048852,0.0006214168694949495
